Group,ItemNumber,Block,Brightness,Brightness2,Ans,Scale,Relatedness,Timbre,SoundFile,SoundPath
4,2,B,same,the SAME,z,aeolian,unrelated,piano,same_aeolian_unrelated_piano_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_piano_02.mp3?raw=true
4,2,B,same,the SAME,z,minor,related,piano,same_minor_related_piano_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_piano_02.mp3?raw=true
4,2,B,same,the SAME,z,minor,unrelated,piano,same_minor_unrelated_piano_02.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_piano_02.mp3?raw=true
4,3,B,bright,BRIGHT,m,aeolian,related,piano,bright_aeolian_related_piano_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_piano_03.mp3?raw=true
4,3,B,bright,BRIGHT,m,aeolian,unrelated,piano,bright_aeolian_unrelated_piano_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_piano_03.mp3?raw=true
4,3,B,bright,BRIGHT,m,minor,related,piano,bright_minor_related_piano_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_piano_03.mp3?raw=true
4,3,B,bright,BRIGHT,m,minor,unrelated,piano,bright_minor_unrelated_piano_03.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_piano_03.mp3?raw=true
4,4,B,same,the SAME,z,aeolian,related,piano,same_aeolian_related_piano_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_piano_04.mp3?raw=true
4,4,B,same,the SAME,z,aeolian,unrelated,piano,same_aeolian_unrelated_piano_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_piano_04.mp3?raw=true
4,4,B,same,the SAME,z,minor,related,piano,same_minor_related_piano_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_piano_04.mp3?raw=true
4,4,B,same,the SAME,z,minor,unrelated,piano,same_minor_unrelated_piano_04.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_piano_04.mp3?raw=true
4,5,B,bright,BRIGHT,m,aeolian,related,piano,bright_aeolian_related_piano_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_related_piano_05.mp3?raw=true
4,5,B,bright,BRIGHT,m,aeolian,unrelated,piano,bright_aeolian_unrelated_piano_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_aeolian_unrelated_piano_05.mp3?raw=true
4,5,B,bright,BRIGHT,m,minor,related,piano,bright_minor_related_piano_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_related_piano_05.mp3?raw=true
4,5,B,bright,BRIGHT,m,minor,unrelated,piano,bright_minor_unrelated_piano_05.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/bright_minor_unrelated_piano_05.mp3?raw=true
4,6,B,same,the SAME,z,aeolian,related,piano,same_aeolian_related_piano_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_related_piano_06.mp3?raw=true
4,6,B,same,the SAME,z,aeolian,unrelated,piano,same_aeolian_unrelated_piano_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_aeolian_unrelated_piano_06.mp3?raw=true
4,6,B,same,the SAME,z,minor,related,piano,same_minor_related_piano_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_related_piano_06.mp3?raw=true
4,6,B,same,the SAME,z,minor,unrelated,piano,same_minor_unrelated_piano_06.mp3,https://github.com/bobsthinktank/HarmonicPrimingStimuli/blob/main/chordsequences/same_minor_unrelated_piano_06.mp3?raw=true
